timestamp,runtime,episode,mean_reward,temperature
1773816071.651692,6.613504886627197,0,0.1700181879568845,0.099
1773816190.9034188,125.86523175239563,1000,0.5491914977319539,0.08953382542587164
1773816309.40781,244.36962294578552,2000,0.5647848043590784,0.08097278682212583
1773816423.279436,358.24124908447266,3000,0.6096001740079373,0.07323033696543972
1773816537.095707,472.0575199127197,4000,0.6302927751094103,0.06622820409839833
1773816650.388361,585.3501749038696,5000,0.6462925258092582,0.0598956006466161
1773817364.0732338,1299.0350468158722,6000,0.7122320784255862,0.054168507596685365
1773817746.8539572,1681.8157708644867,7000,0.6558447498828173,0.0489890273004205
1773817930.0201018,1864.9819147586823,8000,0.6826218636706471,0.044304798162617266
1773818213.759785,2148.7215988636017,9000,0.6450463738292456,0.04006846529515407
1773818449.877991,2384.8398039340973,10000,0.7154386742040515,0.03623720178604972
1773818667.126593,2602.0884070396423,11000,0.7147948704659939,0.03277227574378041
1773818885.092643,2820.0544571876526,12000,0.6913907052949071,0.029638658739920845
1773819105.9253,3040.8871128559113,13000,0.7099664732813835,0.026804671691687453
1773819325.1605692,3260.122383117676,14000,0.6929994523525238,0.02424166460445806
1773819537.01773,3471.9795429706573,15000,0.7390823876485229,0.021923726936647268
1773819753.6744509,3688.636263847351,16000,0.7623656820505857,0.01982742565889147
1773819963.447594,3898.409408092499,17000,0.6678444016724825,0.017931568359471076
1773820175.826456,4110.788269996643,18000,0.7295406104531139,0.016216989001100673
1773820394.499323,4329.461136817932,19000,0.7114799534901977,0.014666354163210386
1773820607.8942301,4542.856043100357,20000,0.7100635357201099,0.013263987810938228
